OBJECTID,Localites,XX_x,YY_x,village,satellite,IDENT,XX_y,YY_y,Infrastruc,capacite,X,Y
"13",Ndorna,496732.0000000000,496732.0000000000,c,Ndorna,62.0000000000,497043.6406700000,1455069.0532000000,Magasin stockage,100.0000000000,-15.0298626860,13.1596926610
"14",Soboulde,489728.0000000000,489728.0000000000,c,Soboulde,,,,Magasin,10.0000000000,-15.0948447840,13.1639630310
"15",Soulabaly,501376.0000000000,501376.0000000000,c,Soulabaly,32.0000000000,501377.0000000000,1459941.0000000000,Magasin stockage,30.0000000000,-14.9870059400,13.2068353300
"16",Bayoungou,484097.0000000000,484097.0000000000,c,Bayoungou,7.0000000000,484097.7158000000,1460074.7113999999,Magasin stockage,30.0000000000,-15.1467392720,13.2075131310
,Tankonfara,,,c,Tankonfara,,,,Magasin,150.0000000000,-14.9650780010,13.2465991630
,Thietty,,,c,Thietty,,,,,0.0000000000,-15.0821569500,13.0507515660
,Mbayenne,,,c,Mbayenne,,,,Magasin,10.0000000000,-15.2626530500,13.2353584750
